Strain,Lineage,Group,Perc
IQ146,VII,pfoA+,65.5311811
IQ146,VII,pfoA+,44.47861917
IQ146,VII,pfoA+,52.15414725
IQ146,VII,pfoA+,44.43029184
IQ146,VII,pfoA+,29.57308953
IQ146,VII,pfoA+,26.4856422
IQ036,IV,pfoA+,70.39087847
IQ036,IV,pfoA+,73.83163244
IQ036,IV,pfoA+,76.38646578
IQ036,IV,pfoA+,40.68998075
IQ036,IV,pfoA+,43.74621547
IQ036,IV,pfoA+,36.08091869
IQ129,VI,pfoA+,55.15010289
IQ129,VI,pfoA+,45.47114435
IQ129,VI,pfoA+,47.03345251
IQ129,VI,pfoA+,27.44022785
IQ129,VI,pfoA+,20.36797066
IQ129,VI,pfoA+,28.2257452
IQ024,VI,pfoA+,51.2829307
IQ024,VI,pfoA+,46.7834832
IQ024,VI,pfoA+,53.25327699
IQ024,VI,pfoA+,26.1787182
IQ024,VI,pfoA+,13.13965042
IQ024,VI,pfoA+,30.55368569
LH019,II,pfoA-,28.0909256
LH019,II,pfoA-,38.55655225
LH019,II,pfoA-,46.04092733
LH019,II,pfoA-,6.704650679
LH019,II,pfoA-,12.81191801
LH019,II,pfoA-,8.5071789
IQ153,VII,pfoA+,60.87366478
IQ153,VII,pfoA+,66.88395616
IQ153,VII,pfoA+,63.00943193
IQ153,VII,pfoA+,51.25284815
IQ153,VII,pfoA+,14.88235447
IQ153,VII,pfoA+,25.3853977
LH115,V,pfoA+,51.30498681
LH115,V,pfoA+,76.28721326
LH115,V,pfoA+,59.23783624
LH115,V,pfoA+,17.50161265
LH115,V,pfoA+,24.31116371
LH115,V,pfoA+,22.90139416
LH043,VI,pfoA-,0.708258618
LH043,VI,pfoA-,0.594302023
LH043,VI,pfoA-,1.189817133
LH043,VI,pfoA-,0.675414868
LH043,VI,pfoA-,1.333480726
LH043,VI,pfoA-,0.914711543
IQ147,V,pfoA-,2.211750469
IQ147,V,pfoA-,2.899166058
IQ147,V,pfoA-,2.627140638
IQ147,V,pfoA-,2.774462883
IQ147,V,pfoA-,0.779456901
IQ147,V,pfoA-,2.126801228
IQ133,V,pfoA-,-0.861401578
IQ133,V,pfoA-,0.994988115
IQ133,V,pfoA-,0.263460296
IQ133,V,pfoA-,0.880897883
IQ133,V,pfoA-,0.849685273
IQ133,V,pfoA-,0.880897883
IQ002,III,pfoA+,12.23257879
IQ002,III,pfoA+,23.4187052
IQ002,III,pfoA+,13.85370326
IQ002,III,pfoA+,5.417130521
IQ002,III,pfoA+,4.912526661
IQ002,III,pfoA+,5.534177808
IQ101,III,pfoA+,21.3123462
IQ101,III,pfoA+,22.22767498
IQ101,III,pfoA+,27.06531624
IQ101,III,pfoA+,12.27350049
IQ101,III,pfoA+,3.723846434
IQ101,III,pfoA+,6.860713728
IQ093,V,pfoA-,0.65679435
IQ093,V,pfoA-,1.825768453
IQ093,V,pfoA-,1.388322169
IQ093,V,pfoA-,0.711829579
IQ093,V,pfoA-,0.995344119
IQ093,V,pfoA-,1.146205067
IQ078,I,pfoA+,24.57665125
IQ078,I,pfoA+,19.80885435
IQ078,I,pfoA+,20.49626994
IQ078,I,pfoA+,5.058185507
IQ078,I,pfoA+,5.781277636
IQ078,I,pfoA+,5.359907403
LHN006,III,pfoA+,17.29078121
LHN006,III,pfoA+,27.1903009
LHN006,III,pfoA+,26.55434958
LHN006,III,pfoA+,7.126020912
LHN006,III,pfoA+,4.834495136
